,rouge1,rouge2,rougeL,bert_precision,bert_recall,bert_f1,quality_score,entity_preservation_rate,sentence_count,entity_count,mandatory_count,procedural_length,step_count
rouge1,1.0,0.8775223897815653,0.928897007134931,0.5862411479895675,0.53416486420368,0.5581040633341561,0.6765702912597416,0.6765702912597419,-0.5711137450807421,0.9646899361970012,-0.09571344084790238,,
rouge2,0.8775223897815653,1.0,0.9694232218700025,0.8809842889077663,0.8576709745342421,0.8696273750328349,0.8668314194586136,0.8668314194586136,-0.244050000694949,0.9483086196912784,-0.5453693536723512,,
rougeL,0.928897007134931,0.9694232218700025,1.0,0.8318624863827178,0.8002137790226923,0.8157197972334888,0.8006481162297899,0.8006481162297902,-0.42355348002812193,0.9392296035669796,-0.4253225795251718,,
bert_precision,0.5862411479895675,0.8809842889077663,0.8318624863827178,1.0,0.9920707500832512,0.9974600111476453,0.8857087221406922,0.8857087221406921,-0.07961040746132636,0.7076208577369127,-0.7941370005390395,,
bert_recall,0.53416486420368,0.8576709745342421,0.8002137790226923,0.9920707500832512,1.0,0.9985028762127073,0.8282233626470447,0.8282233626470444,0.024867754636746415,0.6582706610256632,-0.8572346393392867,,
bert_f1,0.5581040633341561,0.8696273750328349,0.8157197972334888,0.9974600111476453,0.9985028762127073,1.0,0.8548522297312438,0.8548522297312438,-0.020671169269127508,0.6812142926601122,-0.8313704980784841,,
quality_score,0.6765702912597416,0.8668314194586136,0.8006481162297899,0.8857087221406922,0.8282233626470447,0.8548522297312438,1.0,1.0000000000000002,-0.2947070495022853,0.8162062292893476,-0.5071505162084877,,
entity_preservation_rate,0.6765702912597419,0.8668314194586136,0.8006481162297902,0.8857087221406921,0.8282233626470444,0.8548522297312438,1.0000000000000002,1.0,-0.29470704950228566,0.8162062292893476,-0.5071505162084872,,
sentence_count,-0.5711137450807421,-0.244050000694949,-0.42355348002812193,-0.07961040746132636,0.024867754636746415,-0.020671169269127508,-0.2947070495022853,-0.29470704950228566,1.0,-0.42584190298683966,-0.5151628687282771,,
entity_count,0.9646899361970012,0.9483086196912784,0.9392296035669796,0.7076208577369127,0.6582706610256632,0.6812142926601122,0.8162062292893476,0.8162062292893476,-0.42584190298683966,1.0,-0.26092678795214563,,
mandatory_count,-0.09571344084790238,-0.5453693536723512,-0.4253225795251718,-0.7941370005390395,-0.8572346393392867,-0.8313704980784841,-0.5071505162084877,-0.5071505162084872,-0.5151628687282771,-0.26092678795214563,1.0,,
procedural_length,,,,,,,,,,,,,
step_count,,,,,,,,,,,,,
