article_id,title,sentence_count,entity_count,mandatory_count,action_count,temporal_count
30,Top latest Five hire ipad programmer Urban news,32,13,9,2,3
0,BISSNEX at the Forefront of Global Crypto Industry Compliance | User | mammothtimes.com,34,17,6,4,5
22,Sustainable forest management yields positive results in 2023: govt,27,19,8,5,1
31,Applied Intuition Announces Favorable Resolution of Securities Complaint,25,31,8,6,3
18,hire programmers Secrets,26,11,9,3,0
28,Year in Review 2023,38,55,9,3,0
10,"Solved at last, the first puzzle: Scientists find the ideal size of surface to assemble a jigsaw on ",12,6,6,4,4
53,The billionaire brainwave music Diaries,30,9,8,3,4
4,"Over 100 years later, scientists rediscover plant species presumed extinct",24,20,10,2,2
12,"Australian woman training to become country's first female astronaut | The Examiner | Launceston, TA",17,18,10,1,4
49,Epic Games gives another action RPG game today,19,13,9,1,1
33,The AI Images That Shook the Photography World in 2023 - PetaPixel,39,46,8,5,9
68,"Learning to love to draw with Commander Mark, the Bob Ross of drawing",53,26,9,6,2
35,PC Gamer Hardware Awards: The best motherboard of 2023,38,23,8,2,2
69,5 Benefits Of A Mini Am Fm Pocket Radio,25,2,2,2,2
45,"Brian S. Vence, DDS, a Dentist with Vence Dentistry - IssueWire",28,25,11,5,0
75,Skagit Valley Bread Lab devoted to baking better bread,45,26,8,1,3
62,Rivian (RIVN) CEO says R2 will be its Tesla Model 3 moment,40,26,10,11,10
56,hire coders Options,25,11,9,2,6
40,NASA shared its 2024 goals!,32,21,10,3,4
